course_id,section_id,instructor_id,semester,avg_grade,historical_mean,historical_std
CS101,001,INST015,Fall2023,72.7,73.5,3.6
CS101,001,INST035,Spring2024,67.4,64.5,3.9
CS101,001,INST014,Fall2024,60.8,63.6,5.2
CS101,001,INST046,Spring2025,67.7,66.2,5.9
CS101,002,INST038,Fall2023,72.5,73.7,5.7
CS101,002,INST011,Spring2024,70.1,67.0,7.0
CS101,002,INST049,Fall2024,72.8,74.6,4.9
CS101,002,INST023,Spring2025,65.9,68.1,3.9
CS101,003,INST035,Fall2023,75.7,72.9,6.7
CS101,003,INST019,Spring2024,61.8,64.2,7.2
CS101,003,INST037,Fall2024,80.8,76.9,6.0
CS101,003,INST050,Spring2025,67.8,65.5,3.8
CS102,001,INST007,Fall2023,66.1,67.2,3.8
CS102,001,INST011,Spring2024,72.5,68.8,5.3
CS102,001,INST044,Fall2024,67.8,68.7,4.3
CS102,001,INST047,Spring2025,72.1,73.7,5.9
CS102,002,INST041,Fall2023,65.6,66.4,5.3
CS102,002,INST050,Spring2024,74.0,74.4,4.4
CS102,002,INST021,Fall2024,73.3,76.0,4.4
CS102,002,INST037,Spring2025,73.5,69.2,3.8
CS102,003,INST026,Fall2023,80.0,77.8,4.8
CS102,003,INST009,Spring2024,76.0,77.9,6.1
CS102,003,INST038,Fall2024,65.5,66.4,5.7
CS102,003,INST009,Spring2025,69.6,69.7,5.8
CS201,001,INST008,Fall2023,68.6,71.2,3.9
CS201,001,INST039,Spring2024,67.2,64.8,4.1
CS201,001,INST034,Fall2024,68.1,63.1,5.0
CS201,001,INST044,Spring2025,71.0,66.5,5.7
CS201,002,INST018,Fall2023,76.3,75.0,6.2
CS201,002,INST011,Spring2024,85.2,75.8,4.9
CS201,002,INST017,Fall2024,74.2,70.2,7.3
CS201,002,INST007,Spring2025,80.6,79.5,6.5
CS201,003,INST039,Fall2023,79.8,77.7,4.7
CS201,003,INST050,Spring2024,63.9,65.6,5.0
CS201,003,INST032,Fall2024,80.4,78.6,7.2
CS201,003,INST020,Spring2025,66.4,62.4,7.2
MATH201,001,INST006,Fall2023,67.8,66.3,4.5
MATH201,001,INST049,Spring2024,61.1,63.5,5.4
MATH201,001,INST036,Fall2024,73.9,71.6,4.0
MATH201,001,INST014,Spring2025,66.9,65.0,5.6
MATH201,002,INST046,Fall2023,81.2,78.7,6.5
MATH201,002,INST029,Spring2024,69.8,67.6,7.5
MATH201,002,INST005,Fall2024,77.2,78.2,5.3
MATH201,002,INST015,Spring2025,66.9,68.1,5.9
MATH201,003,INST005,Fall2023,59.6,62.1,6.3
MATH201,003,INST016,Spring2024,75.9,78.3,6.9
MATH201,003,INST047,Fall2024,68.3,67.0,5.4
MATH201,003,INST031,Spring2025,79.6,78.8,5.8
MATH301,001,INST028,Fall2023,74.3,76.5,4.3
MATH301,001,INST004,Spring2024,72.3,68.4,5.1
MATH301,001,INST026,Fall2024,71.9,74.1,7.4
MATH301,001,INST013,Spring2025,73.0,75.1,6.7
MATH301,002,INST018,Fall2023,65.8,65.4,5.3
MATH301,002,INST036,Spring2024,67.9,70.3,7.0
MATH301,002,INST001,Fall2024,65.1,63.8,6.1
MATH301,002,INST011,Spring2025,99.2,79.4,7.2
MATH301,003,INST004,Fall2023,73.2,69.3,5.4
MATH301,003,INST030,Spring2024,65.1,65.0,3.5
MATH301,003,INST036,Fall2024,69.9,67.1,6.3
MATH301,003,INST014,Spring2025,72.4,73.9,5.4
ENG101,001,INST048,Fall2023,80.7,79.4,5.8
