student_id,course_id,semester,exam_score,co_score,co_attainment_rate
STU001,CS102,Fall2023,83.3,97.2,0.91
STU002,ENG201,Spring2025,67.4,79.6,0.92
STU003,CHM101,Spring2024,42.9,46.5,0.46
STU004,PHY101,Fall2023,80.2,90.7,0.84
STU005,MEC101,Spring2025,66.8,100,0.76
STU006,CS101,Spring2025,34.5,42.6,0.85
STU007,CHM101,Spring2025,36.9,51.0,0.79
STU008,CHM101,Fall2024,58.3,65.3,0.74
STU009,EEE101,Spring2025,89.8,94.3,0.85
STU010,MATH201,Fall2023,68.5,63.2,0.55
STU011,PHY101,Spring2025,59.3,66.8,0.59
STU012,EEE101,Spring2024,62.1,56.9,0.6
STU013,PHY101,Fall2024,46.8,40.2,0.71
STU014,MATH201,Spring2025,63.6,54.3,0.67
STU015,CHM101,Spring2025,79.3,85.0,0.65
STU016,ENG201,Spring2024,31.1,34.7,0.57
STU017,MEC101,Fall2024,67.8,67.0,0.63
STU018,BUS101,Spring2025,78.5,73.4,0.55
STU019,MATH201,Fall2024,46.3,34.9,0.47
STU020,CS201,Spring2024,64.8,72.7,0.52
STU021,MEC101,Fall2024,61.5,68.2,0.94
STU022,ENG101,Spring2024,84.1,78.0,0.57
STU023,CS101,Fall2023,76.0,64.8,0.7
STU024,EEE101,Fall2023,75.3,64.1,0.88
STU025,EEE101,Fall2024,67.3,66.4,0.5
STU026,EEE101,Fall2023,33.3,47.2,0.85
STU027,CHM101,Fall2023,56.0,43.2,0.48
STU028,CS102,Spring2024,82.7,96.2,0.47
STU029,PHY101,Spring2024,79.7,82.9,0.83
STU030,MATH301,Spring2025,54.7,67.0,0.57
STU031,BUS101,Fall2023,70.4,73.7,0.92
STU032,CHM101,Fall2023,43.5,36.0,0.49
STU033,CS101,Spring2025,41.3,32.0,0.65
STU034,MATH201,Fall2024,68.6,62.3,0.79
STU035,CHM101,Spring2024,75.7,74.3,0.91
STU036,CHM101,Spring2024,81.2,85.0,0.63
STU037,MATH301,Spring2024,65.4,69.8,0.44
STU038,BUS101,Fall2024,40.8,37.9,0.64
STU039,ENG201,Fall2024,60.5,54.6,0.68
STU040,CS101,Spring2025,62.1,49.5,0.8
STU041,MATH201,Fall2023,69.2,55.0,0.95
STU042,CS101,Spring2024,73.7,66.8,0.66
STU043,CS201,Spring2025,72.3,84.8,0.75
STU044,ENG101,Spring2025,62.0,49.7,0.58
STU045,ENG101,Spring2025,73.6,84.3,0.78
STU046,MEC101,Fall2023,48.7,62.1,0.65
STU047,ENG201,Fall2023,50.4,45.1,1.0
STU048,MATH201,Fall2024,65.3,62.7,0.74
STU049,CS101,Spring2024,62.4,60.7,0.55
STU050,BUS101,Spring2025,38.5,36.8,0.47
STU051,MATH201,Spring2024,93.3,91.5,0.57
STU052,MATH201,Fall2023,30.9,36.5,0.65
STU053,EEE101,Fall2024,37.6,48.8,0.68
STU054,EEE101,Spring2024,47.8,57.8,0.65
STU055,PHY101,Spring2024,39.4,34.7,0.88
STU056,ENG201,Fall2024,48.0,56.7,0.91
STU057,MATH301,Fall2024,63.0,72.6,0.86
