student_id,course_id,semester,exam_score,co_score,co_attainment_rate
STU001,CS201,Fall2024,37.0,30.6,0.57
STU002,CHM101,Spring2025,55.8,62.3,0.44
STU003,BUS101,Spring2024,36.6,46.7,0.87
STU004,PHY101,Fall2023,81.8,83.8,0.42
STU005,MEC101,Spring2025,73.0,60.1,0.76
STU006,CS101,Spring2025,83.5,71.7,0.93
STU007,CHM101,Spring2025,76.0,74.1,0.8
STU008,CHM101,Fall2024,70.0,82.6,0.83
STU009,EEE101,Spring2025,83.7,86.5,0.58
STU010,MATH201,Fall2023,48.1,46.6,0.81
STU011,PHY101,Spring2025,51.9,51.7,0.58
STU012,EEE101,Spring2024,53.1,45.9,0.55
STU013,PHY101,Fall2024,66.1,66.6,0.51
STU014,MATH201,Spring2025,61.8,69.5,0.78
STU015,CHM101,Spring2025,59.1,44.6,0.56
STU016,ENG201,Spring2024,49.9,52.3,0.66
STU017,MEC101,Fall2024,57.7,65.1,0.58
STU018,BUS101,Spring2025,47.6,40.1,0.47
STU019,MATH201,Fall2024,37.8,42.2,1.0
STU020,CS201,Spring2024,44.1,44.1,0.8
STU021,MEC101,Fall2024,93.7,96.4,0.56
STU022,ENG101,Spring2024,49.6,55.8,0.47
STU023,CS101,Fall2023,66.0,71.9,0.47
STU024,EEE101,Fall2023,86.7,87.9,0.66
STU025,EEE101,Fall2024,42.0,31.4,0.92
STU026,EEE101,Fall2023,83.4,80.4,0.44
STU027,CHM101,Fall2023,39.9,50.2,0.92
STU028,CS102,Spring2024,37.7,47.4,0.73
STU029,PHY101,Spring2024,80.4,76.8,0.9
STU030,MATH301,Spring2025,49.8,53.4,0.74
STU031,BUS101,Fall2023,91.6,81.5,0.52
STU032,CHM101,Fall2023,40.2,34.4,0.44
STU033,CS101,Spring2025,59.3,62.1,0.56
STU034,MATH201,Fall2024,76.0,82.1,1.0
STU035,CHM101,Spring2024,90.1,94.7,0.74
STU036,CHM101,Spring2024,57.6,58.9,0.76
STU037,MATH301,Spring2024,34.6,70.6,0.57
STU038,BUS101,Fall2024,58.5,57.6,0.57
STU039,ENG201,Fall2024,62.5,62.3,0.44
STU040,CS101,Spring2025,77.7,80.8,0.41
STU041,MATH201,Fall2023,95.0,93.4,0.55
STU042,CS101,Spring2024,60.6,65.1,0.9
STU043,CS201,Spring2025,71.3,71.1,0.45
STU044,ENG101,Spring2025,51.7,56.8,0.87
STU045,ENG101,Spring2025,75.1,68.7,0.92
STU046,MEC101,Fall2023,59.6,54.0,0.58
STU047,ENG201,Fall2023,72.7,74.0,0.63
STU048,MATH201,Fall2024,70.5,70.5,1.0
STU049,CS101,Spring2024,47.4,36.3,0.56
STU050,BUS101,Spring2025,37.9,52.3,0.73
STU051,MATH201,Spring2024,50.2,35.6,0.62
STU052,MATH201,Fall2023,60.0,48.5,0.86
STU053,EEE101,Fall2024,63.1,56.3,0.86
STU054,EEE101,Spring2024,59.7,49.0,0.5
STU055,PHY101,Spring2024,86.2,79.2,0.83
STU056,ENG201,Fall2024,90.7,88.0,0.85
STU057,MATH301,Fall2024,84.4,86.8,0.76
STU058,CS201,Spring2025,65.0,60.4,0.7
STU059,MEC101,Spring2025,59.6,54.3,0.5
STU060,BUS101,Spring2024,67.2,59.2,0.83
STU061,CS101,Fall2024,78.4,84.6,0.85
STU062,ENG201,Spring2024,62.2,48.3,0.68
STU063,PHY101,Fall2024,86.5,96.4,0.64
STU064,MEC101,Spring2025,31.0,32.3,0.88
STU065,CS201,Fall2023,60.5,74.6,0.59
STU066,BUS101,Spring2025,72.2,82.8,0.87
STU067,MEC101,Spring2025,92.0,91.4,0.89
STU068,EEE101,Fall2023,70.1,62.1,0.78
STU069,MATH301,Spring2024,78.5,76.5,0.45
STU070,CHM101,Fall2023,58.8,64.6,0.9
STU071,CS101,Fall2024,81.7,75.5,0.61
STU072,CS201,Spring2024,64.5,66.5,0.84
STU073,CS201,Spring2024,35.1,47.5,0.74
STU074,MATH201,Spring2025,89.3,78.0,0.65
STU075,MATH301,Spring2025,46.6,31.9,0.84
STU076,MATH301,Spring2024,34.8,48.7,0.94
STU077,MATH301,Spring2025,74.9,73.6,0.57
STU078,ENG201,Spring2025,36.9,38.4,0.6
STU079,MATH301,Fall2024,31.4,43.6,0.62
STU080,CS101,Fall2023,89.2,93.4,0.86
STU029,MATH201,Fall2024,55.5,83.6,1.0
STU018,MATH201,Fall2024,55.1,92.1,1.0
STU006,MATH201,Fall2024,42.4,78.2,1.0
STU075,MATH201,Fall2024,44.6,68.9,1.0
STU038,MATH201,Fall2024,43.1,77.5,1.0
STU026,MATH201,Fall2024,35.3,81.2,1.0
STU047,MATH201,Fall2024,51.2,92.4,1.0
STU022,MATH201,Fall2024,40.3,89.7,1.0
STU062,MATH201,Fall2024,68.7,73.9,1.0
