student_id,course_id,semester,exam_score,co_score,co_attainment_rate
STU001,CS101,Fall2023,58,91,1.0
STU002,CS101,Fall2023,61,88,1.0
STU003,CS101,Fall2023,74,82,1.0
STU004,CS101,Fall2023,88,90,1.0
STU005,CS102,Fall2023,45,70,1.0
STU006,CS102,Fall2023,52,65,1.0
STU007,CS102,Fall2023,63,75,1.0
STU008,MATH201,Fall2023,70,85,1.0
STU009,MATH201,Fall2023,75,80,1.0
STU010,ENG101,Fall2023,60,75,1.0
STU011,ENG101,Fall2023,65,70,1.0
STU012,CS201,Fall2023,55,90,1.0
STU013,CS201,Fall2023,58,88,1.0
STU014,CS201,Fall2023,62,85,1.0
STU015,CS201,Fall2023,50,92,1.0
STU016,CS201,Fall2023,65,80,1.0
STU017,CS201,Fall2023,70,78,1.0
STU018,CS201,Fall2023,72,75,1.0
STU019,CS201,Fall2023,68,82,1.0
STU020,CS201,Fall2023,60,85,1.0
STU021,CS201,Fall2023,48,90,1.0
STU022,CS201,Fall2023,55,88,1.0
